                                                                                                                                                                                         
{'loss_mask': 0.6559881567955017, 'loss_dice': 5.490043640136719, 'loss_llm': 3.933906555175781e-06, 'loss_attention': -0.36870115995407104, 'epoch': 8.89}
{'loss_mask': 7.721879959106445, 'loss_dice': 49.21211624145508, 'loss_llm': 4.172325134277344e-06, 'loss_attention': 0.7999511361122131, 'epoch': 8.89}
{'loss_mask': 11.855172157287598, 'loss_dice': 12.201807022094727, 'loss_llm': 3.933906555175781e-05, 'loss_attention': 0.9169726371765137, 'epoch': 8.89}
{'loss_mask': 0.74675053358078, 'loss_dice': 2.9317100048065186, 'loss_llm': 3.457069396972656e-05, 'loss_attention': -0.30391600728034973, 'epoch': 8.89}
{'loss_mask': 0.33517056703567505, 'loss_dice': 8.817593574523926, 'loss_llm': 3.719329833984375e-05, 'loss_attention': 0.08825194835662842, 'epoch': 8.89}
{'loss_mask': 12.341995239257812, 'loss_dice': 6.453086853027344, 'loss_llm': 5.692243576049805e-06, 'loss_attention': 0.6180859208106995, 'epoch': 8.89}
{'loss': 21.5912, 'grad_norm': 73.01830898244134, 'learning_rate': 1.8984932265765172e-05, 'epoch': 8.89}
{'loss_mask': 3.9582884311676025, 'loss_dice': 9.03516960144043, 'loss_llm': 1.2516975402832031e-05, 'loss_attention': 0.4522729516029358, 'epoch': 8.89}
{'loss_mask': 2.0941731929779053, 'loss_dice': 23.6381893157959, 'loss_llm': 4.231929779052734e-06, 'loss_attention': 1.0775121450424194, 'epoch': 8.89}
{'loss_mask': 42.514076232910156, 'loss_dice': 49.549503326416016, 'loss_llm': 1.138448715209961e-05, 'loss_attention': 1.98046875, 'epoch': 8.89}
{'loss_mask': 0.1527758240699768, 'loss_dice': 13.367297172546387, 'loss_llm': 1.609325408935547e-05, 'loss_attention': 1.98046875, 'epoch': 8.89}
{'loss_mask': 0.19267091155052185, 'loss_dice': 8.928930282592773, 'loss_llm': 7.12275505065918e-06, 'loss_attention': 2.228593587875366, 'epoch': 8.89}
{'loss_mask': 1.5563145875930786, 'loss_dice': 1.6717942953109741, 'loss_llm': 2.384185791015625e-05, 'loss_attention': 0.3060504198074341, 'epoch': 8.89}
{'loss_mask': 0.41168078780174255, 'loss_dice': 12.991832733154297, 'loss_llm': 3.62396240234375e-05, 'loss_attention': -0.9013476371765137, 'epoch': 8.89}
{'loss_mask': 1.0368380546569824, 'loss_dice': 5.301995754241943, 'loss_llm': 4.76837158203125e-06, 'loss_attention': -0.6052343845367432, 'epoch': 8.89}
{'loss_mask': 0.8883076906204224, 'loss_dice': 10.134184837341309, 'loss_llm': 3.8623809814453125e-05, 'loss_attention': -0.3497851490974426, 'epoch': 8.89}
{'loss_mask': 4.550510406494141, 'loss_dice': 4.690581321716309, 'loss_llm': 1.728534698486328e-05, 'loss_attention': 0.6758593320846558, 'epoch': 8.89}
{'loss': 22.2713, 'grad_norm': 69.76060678646874, 'learning_rate': 1.895953515701715e-05, 'epoch': 8.89}
{'loss_mask': 0.444225937128067, 'loss_dice': 11.412192344665527, 'loss_llm': 2.2530555725097656e-05, 'loss_attention': -1.3120898008346558, 'epoch': 8.89}
{'loss_mask': 3.6407899856567383, 'loss_dice': 8.586264610290527, 'loss_llm': 1.4662742614746094e-05, 'loss_attention': -0.0258642565459013, 'epoch': 8.89}
{'loss_mask': 26.157442092895508, 'loss_dice': 13.531169891357422, 'loss_llm': 4.231929779052734e-06, 'loss_attention': 0.3995898365974426, 'epoch': 8.89}
{'loss_mask': 0.760392427444458, 'loss_dice': 16.926939010620117, 'loss_llm': 2.7418136596679688e-06, 'loss_attention': -0.8314843773841858, 'epoch': 8.89}
{'loss_mask': 7.6887102127075195, 'loss_dice': 4.388794422149658, 'loss_llm': 1.434236764907837e-07, 'loss_attention': 0.09929931163787842, 'epoch': 8.89}
{'loss_mask': 0.4492877721786499, 'loss_dice': 7.905250072479248, 'loss_llm': 4.792213439941406e-05, 'loss_attention': -0.545703113079071, 'epoch': 8.89}
{'loss_mask': 12.31023120880127, 'loss_dice': 46.68941116333008, 'loss_llm': 6.139278411865234e-06, 'loss_attention': 0.788403332233429, 'epoch': 8.89}
{'loss_mask': 2.2778067588806152, 'loss_dice': 1.1260104179382324, 'loss_llm': 1.3113021850585938e-05, 'loss_attention': 0.21214233338832855, 'epoch': 8.89}
{'loss_mask': 51.46033477783203, 'loss_dice': 35.46274185180664, 'loss_llm': 2.8014183044433594e-05, 'loss_attention': 0.5209765434265137, 'epoch': 8.89}
{'loss_mask': 2.8795862197875977, 'loss_dice': 2.8731489181518555, 'loss_llm': 6.496906280517578e-06, 'loss_attention': -0.0740039050579071, 'epoch': 8.89}
{'loss': 25.2914, 'grad_norm': 228.10305224044293, 'learning_rate': 1.8934151072271573e-05, 'epoch': 8.89}
{'loss_mask': 4.906203269958496, 'loss_dice': 19.888769149780273, 'loss_llm': 3.1888484954833984e-06, 'loss_attention': 2.043750047683716, 'epoch': 8.89}
{'loss_mask': 25.10972785949707, 'loss_dice': 27.14715576171875, 'loss_llm': 2.905726432800293e-06, 'loss_attention': -0.1263085901737213, 'epoch': 8.89}
{'loss_mask': 4.7487030029296875, 'loss_dice': 49.8471794128418, 'loss_llm': 6.258487701416016e-06, 'loss_attention': 2.0390625, 'epoch': 8.89}
{'loss_mask': 2.629049301147461, 'loss_dice': 1.3364839553833008, 'loss_llm': 3.3855438232421875e-05, 'loss_attention': 0.1453271508216858, 'epoch': 8.89}
{'loss_mask': 0.1687452793121338, 'loss_dice': 8.25658130645752, 'loss_llm': 8.225440979003906e-06, 'loss_attention': 2.1399998664855957, 'epoch': 8.89}
{'loss_mask': 0.5688931941986084, 'loss_dice': 12.518853187561035, 'loss_llm': 1.3649463653564453e-05, 'loss_attention': 1.980312466621399, 'epoch': 8.89}
{'loss_mask': 0.17624583840370178, 'loss_dice': 8.682717323303223, 'loss_llm': 2.205371856689453e-05, 'loss_attention': 0.84632807970047, 'epoch': 8.89}
{'loss_mask': 0.31947603821754456, 'loss_dice': 10.49400520324707, 'loss_llm': 0.0001983642578125, 'loss_attention': 1.7828369140625, 'epoch': 8.89}
{'loss_mask': 4.7877516746521, 'loss_dice': 3.5909769535064697, 'loss_llm': 1.621246337890625e-05, 'loss_attention': 0.22989501059055328, 'epoch': 8.89}
{'loss_mask': 0.9744738340377808, 'loss_dice': 1.7360613346099854, 'loss_llm': 3.814697265625e-05, 'loss_attention': 0.050800781697034836, 'epoch': 8.89}
{'loss': 21.7053, 'grad_norm': 241.1233690996718, 'learning_rate': 1.890878002217915e-05, 'epoch': 8.89}
{'loss_mask': 8.8840913772583, 'loss_dice': 23.550413131713867, 'loss_llm': 7.212162017822266e-06, 'loss_attention': 1.9267187118530273, 'epoch': 8.89}
{'loss_mask': 8.901501655578613, 'loss_dice': 49.837345123291016, 'loss_llm': 1.5735626220703125e-05, 'loss_attention': 2.0746874809265137, 'epoch': 8.89}
{'loss_mask': 0.6853655576705933, 'loss_dice': 27.099611282348633, 'loss_llm': 4.559755325317383e-06, 'loss_attention': 2.0390625, 'epoch': 8.89}
{'loss_mask': 7.322242736816406, 'loss_dice': 6.235669136047363, 'loss_llm': 2.193450927734375e-05, 'loss_attention': 0.1903005987405777, 'epoch': 8.89}
{'loss_mask': 1.3570506572723389, 'loss_dice': 2.1448745727539062, 'loss_llm': 3.695487976074219e-05, 'loss_attention': -0.34375, 'epoch': 8.9}
{'loss_mask': 1.1077529191970825, 'loss_dice': 3.8396592140197754, 'loss_llm': 5.054473876953125e-05, 'loss_attention': -0.7805468440055847, 'epoch': 8.9}
{'loss_mask': 1.3843181133270264, 'loss_dice': 2.290910005569458, 'loss_llm': 6.616115570068359e-06, 'loss_attention': -0.26972654461860657, 'epoch': 8.9}
{'loss_mask': 4.347510814666748, 'loss_dice': 49.7801399230957, 'loss_llm': 6.973743438720703e-06, 'loss_attention': 2.0481250286102295, 'epoch': 8.9}
