                                                                                                                       
{'loss_mask': 16.100006103515625, 'loss_dice': 46.39738082885742, 'loss_llm': 3.375, 'loss_attention': 0.0, 'loss_itaa': 0.048217158764600754, 'epoch': 0.01}
{'loss_mask': 32.7177848815918, 'loss_dice': 48.76543045043945, 'loss_llm': 4.03125, 'loss_attention': 0.0, 'loss_itaa': 0.04713921621441841, 'epoch': 0.01}
{'loss_mask': 9.8880615234375, 'loss_dice': 46.285823822021484, 'loss_llm': 3.5625, 'loss_attention': 0.0, 'loss_itaa': 0.04546257480978966, 'epoch': 0.01}
{'loss_mask': 5.156123638153076, 'loss_dice': 48.779476165771484, 'loss_llm': 3.578125, 'loss_attention': 0.0, 'loss_itaa': 0.05857624486088753, 'epoch': 0.01}
{'loss': 63.2495, 'grad_norm': 200.19575655438558, 'learning_rate': 2.4444444444444445e-05, 'epoch': 0.01}
{'loss_mask': 50.33860778808594, 'loss_dice': 45.94898986816406, 'loss_llm': 3.25, 'loss_attention': 0.0, 'loss_itaa': 0.04402809217572212, 'epoch': 0.01}
{'loss_mask': 2.2983295917510986, 'loss_dice': 45.754852294921875, 'loss_llm': 3.1875, 'loss_attention': 0.0, 'loss_itaa': 0.04554818943142891, 'epoch': 0.01}
{'loss_mask': 2.579827308654785, 'loss_dice': 24.355976104736328, 'loss_llm': 3.484375, 'loss_attention': 0.0, 'loss_itaa': 0.04775360971689224, 'epoch': 0.01}
{'loss_mask': 8.885109901428223, 'loss_dice': 22.54715347290039, 'loss_llm': 3.484375, 'loss_attention': 0.0, 'loss_itaa': 0.04438649117946625, 'epoch': 0.01}
{'loss_mask': 17.5051326751709, 'loss_dice': 49.69713592529297, 'loss_llm': 3.9375, 'loss_attention': 0.0, 'loss_itaa': 0.04673948138952255, 'epoch': 0.01}
{'loss_mask': 6.081686496734619, 'loss_dice': 13.748014450073242, 'loss_llm': 3.140625, 'loss_attention': 0.0, 'loss_itaa': 0.05160557106137276, 'epoch': 0.01}
{'loss_mask': 17.310361862182617, 'loss_dice': 29.32291030883789, 'loss_llm': 3.546875, 'loss_attention': 0.0, 'loss_itaa': 0.04325854405760765, 'epoch': 0.01}
{'loss_mask': 11.38662338256836, 'loss_dice': 15.292001724243164, 'loss_llm': 3.09375, 'loss_attention': 0.0, 'loss_itaa': 0.05120076611638069, 'epoch': 0.01}
{'loss_mask': 14.274230003356934, 'loss_dice': 25.0799560546875, 'loss_llm': 3.03125, 'loss_attention': 0.0, 'loss_itaa': 0.04131389036774635, 'epoch': 0.01}
{'loss_mask': 4.8324079513549805, 'loss_dice': 49.85735321044922, 'loss_llm': 3.09375, 'loss_attention': 0.0, 'loss_itaa': 0.04401344805955887, 'epoch': 0.01}
{'loss': 49.0807, 'grad_norm': 144.45877131170235, 'learning_rate': 2.6666666666666667e-05, 'epoch': 0.01}
{'loss_mask': 7.6747636795043945, 'loss_dice': 49.1512336730957, 'loss_llm': 3.1875, 'loss_attention': 0.0, 'loss_itaa': 0.04496536776423454, 'epoch': 0.01}
{'loss_mask': 22.768463134765625, 'loss_dice': 32.935455322265625, 'loss_llm': 3.296875, 'loss_attention': 0.0, 'loss_itaa': 0.041693322360515594, 'epoch': 0.01}
{'loss_mask': 24.78285026550293, 'loss_dice': 40.66274642944336, 'loss_llm': 2.984375, 'loss_attention': 0.0, 'loss_itaa': 0.0491035096347332, 'epoch': 0.01}
{'loss_mask': 2.685715675354004, 'loss_dice': 5.377387046813965, 'loss_llm': 2.59375, 'loss_attention': 0.0, 'loss_itaa': 0.03911828622221947, 'epoch': 0.01}
{'loss_mask': 5.620141983032227, 'loss_dice': 26.057769775390625, 'loss_llm': 2.5625, 'loss_attention': 0.0, 'loss_itaa': 0.0445525124669075, 'epoch': 0.01}
{'loss_mask': 4.069240570068359, 'loss_dice': 49.594581604003906, 'loss_llm': 3.03125, 'loss_attention': 0.0, 'loss_itaa': 0.04415328428149223, 'epoch': 0.01}
{'loss_mask': 4.863534927368164, 'loss_dice': 48.535396575927734, 'loss_llm': 3.5, 'loss_attention': 0.0, 'loss_itaa': 0.048068854957818985, 'epoch': 0.01}
{'loss_mask': 15.5226469039917, 'loss_dice': 29.089706420898438, 'loss_llm': 2.828125, 'loss_attention': 0.0, 'loss_itaa': 0.037197623401880264, 'epoch': 0.01}
{'loss_mask': 6.0812458992004395, 'loss_dice': 49.886573791503906, 'loss_llm': 2.4375, 'loss_attention': 0.0, 'loss_itaa': 0.037900108844041824, 'epoch': 0.01}
{'loss_mask': 40.84243392944336, 'loss_dice': 49.92185974121094, 'loss_llm': 2.953125, 'loss_attention': 0.0, 'loss_itaa': 0.04233522713184357, 'epoch': 0.01}
{'loss': 54.5928, 'grad_norm': 606.1878524041402, 'learning_rate': 2.8888888888888888e-05, 'epoch': 0.01}
{'loss_mask': 88.79161071777344, 'loss_dice': 49.49359893798828, 'loss_llm': 2.359375, 'loss_attention': 0.0, 'loss_itaa': 0.04617166519165039, 'epoch': 0.01}
{'loss_mask': 15.936382293701172, 'loss_dice': 49.665462493896484, 'loss_llm': 2.828125, 'loss_attention': 0.0, 'loss_itaa': 0.04405307024717331, 'epoch': 0.01}
{'loss_mask': 18.79168701171875, 'loss_dice': 49.966217041015625, 'loss_llm': 2.546875, 'loss_attention': 0.0, 'loss_itaa': 0.048009589314460754, 'epoch': 0.01}
